Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.2475E-4,14.253251861,0.392842378,0.276062728,0.07960199,0.136363636
1.26442E-4,14.504808951,0.396936758,0.274090147,0.07960199,0.136363636
1.27655E-4,14.758835336,0.39985452,0.272117566,0.07960199,0.136363636
1.30196E-4,15.003123246,0.40592366,0.270243614,0.084577114,0.136363636
1.32261E-4,15.252619656,0.41081005,0.268369662,0.089552239,0.136363636
1.35191E-4,15.506868139,0.417674434,0.26649571,0.089552239,0.136363636
1.386E-4,15.753885039,0.425560905,0.264720387,0.089552239,0.136363636
1.40235E-4,16.00489481,0.429305186,0.262945064,0.089552239,0.136363636
1.41841E-4,16.258818425,0.432959051,0.261169741,0.089552239,0.136363636
1.42866E-4,16.5008388,0.43528034,0.259493047,0.094527363,0.136363636
1.43806E-4,16.758830946,0.437398193,0.257717724,0.094527363,0.136363636
1.44361E-4,17.01828282,0.438646538,0.255942401,0.104477612,0.136363636
1.45399E-4,17.264523073,0.44097101,0.254265707,0.104477612,0.136363636
1.47882E-4,17.514005208,0.446495695,0.252589013,0.109452736,0.136363636
1.49896E-4,17.752327946,0.450937729,0.251010948,0.114427861,0.136363636
1.52421E-4,18.009473377,0.456454877,0.249334254,0.114427861,0.136363636
1.56536E-4,18.25729203,0.465328049,0.247756189,0.119402985,0.151515152
1.59185E-4,18.510173779,0.470962473,0.246178124,0.124378109,0.151515152
1.6162E-4,18.75115168,0.476090218,0.244698688,0.129353234,0.151515152
1.62389E-4,19.010311904,0.477698326,0.243120623,0.134328358,0.166666667
1.62697E-4,19.254123459,0.47834232,0.241641187,0.134328358,0.166666667
1.63626E-4,19.564254328,0.480276859,0.239767235,0.134328358,0.166666667
1.64326E-4,19.777377491,0.481730264,0.238485058,0.139303483,0.166666667
1.66421E-4,20.008882548,0.486053594,0.237104251,0.149253731,0.166666667
1.6964E-4,20.261367401,0.492628416,0.235624815,0.154228856,0.181818182
1.71469E-4,20.500047957,0.496327675,0.234244008,0.154228856,0.181818182
1.77146E-4,20.762430613,0.507634851,0.232764572,0.164179104,0.196969697
1.80048E-4,21.013081775,0.513317275,0.231383766,0.174129353,0.196969697
1.81591E-4,21.266194619,0.516310691,0.230002959,0.184079602,0.196969697
1.82915E-4,21.502974854,0.518866036,0.228720781,0.189054726,0.196969697
1.83857E-4,21.759736747,0.520675946,0.227339974,0.189054726,0.212121212
1.84725E-4,22.036119355,0.522335795,0.225860539,0.189054726,0.212121212
